iteration	time	average_speed	average_speed_lane_0	average_speed_lane_1	average_speed_lane_2	vehicle_count
389	0.32278338	2.7916667	2.5	2.9375	2.9375	48
390	0.32358	2.9375	2.6	3.0555556	3.1333334	48
391	0.3242808	3.125	2.625	3.4117646	3.3333333	48
392	0.3249354	2.7916667	2.5882354	2.4117646	3.5	48
393	0.3255944	2.6666667	2.6	2.0714285	3.357143	48
394	0.32629243	2.6041667	2.5	2.6666667	2.6923077	48
395	0.3269808	2.4375	2	2.4	3	48
396	0.3277176	2.7916667	2.35	2.8	3.4615386	48
397	0.3284591	2.9791667	2.4444444	2.8235295	3.9230769	48
398	0.3291972	3.0208333	2.8333333	2.8823528	3.4615386	48
399	0.3298743	2.8541667	2.3888888	2.8235295	3.5384614	48
400	0.3307152	2.9375	2.8888888	2.3888888	3.8333333	48
401	0.3319081	2.9166667	2.5625	2.4736843	4	48
402	0.3331936	2.9375	2.6470587	2.7058823	3.5714285	48
403	0.3339048	2.9583333	2.5	3	3.5	48
404	0.33460122	2.8125	2.8125	2.7333333	2.8823528	48
405	0.3353633	2.9166667	3.125	2.7333333	2.8823528	48
406	0.3360013	2.6875	2.625	2.4285715	2.9444444	48
407	0.33675572	2.8541667	3	2.75	2.8	48
408	0.3375357	2.9583333	3.5333333	2.4444444	3	48
409	0.33830792	3	3.4375	2.2631578	3.5384614	48
410	0.3390489	2.9375	3.2	2.7894738	2.857143	48
411	0.3397348	2.9583333	3.4375	2.75	2.6666667	48
412	0.3405165	2.7083333	2.7777777	2.4705882	2.9230769	48
413	0.3413532	2.8958333	2.7058823	2.4117646	3.7142856	48
414	0.3422389	3.0208333	2.4736843	2.8823528	4.0833335	48
415	0.342932	2.8541667	2.2777777	2.875	3.5714285	48
416	0.34378338	3.0625	2.2941177	2.9411764	4.142857	48
417	0.34449992	3.2291667	2.1333334	3.2631578	4.357143	48
418	0.3451909	3.0208333	2.0625	3.1111112	4	48
419	0.3459611	3.125	2.8235295	3.4117646	3.142857	48
420	0.3468271	3.2083333	2.9411764	3.2631578	3.5	48
421	0.34832442	3.0625	2.625	3.047619	3.7272727	48
422	0.3497039	2.7083333	2.7333333	2.2727273	3.5454545	48
423	0.350516	2.9583333	2.9375	2.4736843	3.6923077	48
424	0.3512197	2.9583333	3.0555556	2.9444444	2.8333333	48
425	0.3518788	2.6875	2.7222223	2.5	3	48
426	0.3525841	2.6041667	2.1764705	2.5263157	3.3333333	48
427	0.35333562	2.7291667	2.2	2.6111112	3.4	48
428	0.3540955	2.7291667	2.25	2.7222223	3.2857144	48
429	0.3547743	2.6458333	2.125	2.5555556	3.357143	48
430	0.355564	2.9791667	2.2	3.05	3.7692308	48
431	0.35628763	3.0416667	2.875	2.631579	3.8461537	48
432	0.35703012	2.7708333	2.5714285	2.65	3.142857	48
433	0.3576998	2.7708333	2.857143	2.3157895	3.2666667	48
434	0.358415	2.4583333	2.357143	2.2631578	2.8	48
435	0.3591704	2.2291667	2.2142856	1.85	2.7857144	48
436	0.360075	2.3958333	2.6666667	1.85	2.9230769	48
437	0.3607978	2.5	3.2142856	2.0454545	2.5	48
438	0.3614626	2.6041667	2.857143	2.65	2.2857144	48
439	0.36215308	2.75	3.6923077	2.5238094	2.2142856	48
440	0.362943	2.6875	3.4285715	2.2	2.642857	48
441	0.36381412	2.6458333	2.857143	2.3636363	2.9166667	48
442	0.3648245	2.6666667	2.7142856	2.1363637	3.5833333	48
443	0.3657757	2.8125	2.9444444	2	4	48
