iteration,time,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,vehicle_count,lane_change_probability,deceleration_probability,max_speed_lane_1,max_speed_lane_2,max_speed_lane_3,flow
253,0.0336464,1.4935066,1.2758621,1.6333333,1.6111112,77,0.5,0.4,9,9,9,1.15
254,0.0342168,1.2692307,1.1,1.4285715,1.3,78,0.5,0.4,9,9,9,0.98999995
255,0.0345584,1.5641025,1.9285715,1.0714285,1.7272727,78,0.5,0.4,9,9,9,1.2199999
256,0.0335479,1.6025641,1.5357143,1.3214285,2.0454545,78,0.5,0.4,9,9,9,1.25
257,0.0343054,1.4810127,1.6666666,1.074074,1.72,79,0.5,0.4,9,9,9,1.1700001
258,0.0355781,1.1772152,1.1851852,1,1.45,79,0.5,0.4,9,9,9,0.93000007
259,0.0344482,1.5443038,1.3225807,1.68,1.6956521,79,0.5,0.4,9,9,9,1.22
260,0.0334156,1.4556962,1.4074074,1.3846154,1.5769231,79,0.5,0.4,9,9,9,1.1500001
261,0.0350366,1.3375,0.96666664,1.2258065,2.1052632,80,0.5,0.4,9,9,9,1.07
262,0.0352994,1.3375,0.92,1.5882353,1.4285715,80,0.5,0.4,9,9,9,1.07
263,0.0346783,1.425,1.1363636,1.483871,1.5925926,80,0.5,0.4,9,9,9,1.14
264,0.0369536,1.3703704,1.2413793,1.1333333,1.8636364,81,0.5,0.4,9,9,9,1.11
265,0.0365327,1.308642,1.2903225,1.12,1.52,81,0.5,0.4,9,9,9,1.0600001
266,0.0356163,1.5061729,1.1388888,1.32,2.4,81,0.5,0.4,9,9,9,1.22
267,0.0372166,1.5121951,1.2758621,1.516129,1.8181819,82,0.5,0.4,9,9,9,1.24
268,0.0370158,1.3780488,1.4285715,1.3225807,1.3913044,82,0.5,0.4,9,9,9,1.13
269,0.0357816,1.402439,1.1153846,1.5405406,1.5263158,82,0.5,0.4,9,9,9,1.15
270,0.0368812,1.695122,1.84,1.4,1.8888888,82,0.5,0.4,9,9,9,1.39
271,0.0370113,1.4457831,1.3548387,1.1724138,1.9130435,83,0.5,0.4,9,9,9,1.1999999
272,0.0383592,1.4939759,1.5555556,1.3030303,1.6956521,83,0.5,0.4,9,9,9,1.24
273,0.0366934,1.4578314,1.2,1.5,1.8181819,83,0.5,0.4,9,9,9,1.21
274,0.0391404,1.4166666,1.21875,1.3103448,1.826087,84,0.5,0.4,9,9,9,1.1899999
275,0.0378592,1.3452381,1,1.9565217,1.3684211,84,0.5,0.4,9,9,9,1.13
276,0.037257,1.4880953,1.5172414,1.5517242,1.3846154,84,0.5,0.4,9,9,9,1.25
277,0.0370965,1.2261904,1.0588236,1.16,1.52,84,0.5,0.4,9,9,9,1.03
